;;;1;2;;;;;
;;;;;;;;;
;;;;;;;;;
;AIRBNB;Comptabilité;Comptabilité;Comptabilité;Comptabilité;Comptabilité;;Comptabilité;Comptabilité
P03-ARC77-2G;Luxury 6 Bedroom & 6 Bathroom apartment - Marais;ARC77-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Archives II;411Website;411MARRIOTT
P17-GOU71-2D;L'appartement n'est pas lancé;GOU71-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - St Cyr I;411Website;411MARRIOTT
P15-VIA1-2G;L'appartement n'est pas lancé;VIA1-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Tour Eiffel - Viala II;411Website;411MARRIOTT
P03-TUR64-1D;L'appartement n'est pas lancé;TUR64-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Turenne;411Website;411MARRIOTT
P15-VIA29-1D;L'appartement n'est pas lancé;VIA29-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel - Viala IV;411Website;411MARRIOTT
P03-BRA4-2G;L'appartement n'est pas lancé;BRA4-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Braque;411Website;411MARRIOTT
N92-DUL16-1F;L'appartement n'est pas lancé;DUL16-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Champs Elysees - Dulud I;411Website;411MARRIOTT
N92-DUL16-2F;L'appartement n'est pas lancé;;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Dulud II;411Website;411MARRIOTT
N92-DUL16-3F;L'appartement n'est pas lancé;;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees -Dulud III;411Website;411MARRIOTT
P15-DES3-5G;L'appartement n'est pas lancé;DES3-5G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel - Desaix I;411Website;411MARRIOTT
P15-DES3-5F;L'appartement n'est pas lancé;DES3-5F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Tour Eiffel -Desaix II;411Website;411MARRIOTT
P17-ALF6-4F;L'appartement n'est pas lancé;ALF6-4F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Roll;411Website;411MARRIOTT
P08-ROY21-5G;;;;411BOOKING;;;;;
;;FRE17B-2F;;411BOOKING;;;Merveil - Luxury Suite - Tour Eiffel - Fremicourt;;
