;;;1;2;;;;;
;;;;;;;;;
;;;;;;;;;
;AIRBNB;Comptabilité;Comptabilité;Comptabilité;Comptabilité;Comptabilité;;Comptabilité;Comptabilité
P04-LOU18-0D;Luxury 3 bedrooms 2 Bathrooms - Ile saint-Louis;LOU18-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Notre-Dame - Saint Louis;411Website;411MARRIOTT
P03-MAR181-1G;Luxury 3 bedroom and 3 bathroom -Louvre Marais;MAR181-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Saint Martin I;411Website;411MARRIOTT
P03-MAR181-2G;Luxury 3 bedroom and 3 bathroom -Louvre Museum;MAR181-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Saint Martin II;411Website;411MARRIOTT
P07-BAC116-1G;Luxury 2 Bedroom - Eiffel-Tower & Orsay Museum;BAC116-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Tour Eiffel - Bac I;411Website;411MARRIOTT
P07-BAC116-1D;Luxury 2 Bedroom Eiffel-Tower with Terrace;BAC116-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Tour Eiffel - Bac II;411Website;411MARRIOTT
P08-FLO13-1F;Luxury 3 bedroom & 2 bathroom;FLO13-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -ChampsElysees- Florentin I;411Website;411MARRIOTT
P08-FLO13-1G;Luxury 3 bedroom 2 bathroom apartment - Louvre;FLO13-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -ChampsElysees-Florentin II;411Website;411MARRIOTT
P02-VOL18-2G;Luxury 2 Bdr 1 Bthr - Louvre Museum & Opera;VOL18-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -Opera - Volney I;411Website;411MARRIOTT
P02-VOL18-2D;Luxury 2 Bdr & 2 Bthr - Louvre Museum & Opera;VOL18-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -Opera - Volney II;411Website;411MARRIOTT
P03-OUR12-1G;Luxury 2 bedroom - Marais & Louvre;OUR12-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Ours I;411Website;411MARRIOTT
P03-OUR12-1D;Luxury 2 bedroom & 2 bathroom - Marais & Louvre;OUR12-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Ours II;411Website;411MARRIOTT
P02-ABO108-2G;Luxury 4 bedrooms 3 Bathrooms - Louvre;ABO108-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Aboukir VII;411Website;411MARRIOTT
P04-ANT10-1G;Luxury 4 bedrooms 2 bathrooms apartment Le Marais;ANT10-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Antoine I;411Website;411MARRIOTT
P04-ANT10-2G;Luxury 3 bedrooms 2 bathrooms apartment Le Marais;ANT10-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Antoine II;411Website;411MARRIOTT
P08-BOI41-2D;Luxury 5 Bedroom 3 Bathroom Louvre Champs Elysees;BOI41-2D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Boissy;411Website;411MARRIOTT
P02-QUA24-4F;Luxury  5 Bedrooms -3 Bathrooms Apartment  - Opera;QUA24-4F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Septembre I;411Website;411MARRIOTT
P02-QUA24-4D;Luxury 2 bedrooms with 2 Bathrooms - Opéra;QUA24-4D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Septembre II;411Website;411MARRIOTT
P08-MON58-0F;;MON58-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;;411Website;411MARRIOTT
P08-MON58-0G;Cosy 3 Bedroom 2 bathroom apartment Champs Elysees;MON58-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Champs Elysees - Monceau;411Website;411MARRIOTT
P01-OPE18-4D;Luxury 4 Bdr 3 bthr Apartment  - Opera Louvre;OPE18-4D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Opera I;411Website;411MARRIOTT
P01-OPE18-4G;Luxury 3 bdr 2 bthr Apartment  - Opera Louvre;OPE18-4G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Opera II;411Website;411MARRIOTT
P01-MTM13-2G;Luxury 3 bedroom & 2 bathroom Suite- Marais Louvre;MTM13-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Marais - Montmartre;411Website;411MARRIOTT
P02-SEN18-3D;Cosy 2 bedrooms apartment - Louvre Museum;SEN18-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre - Sentier I;411Website;411MARRIOTT
P01-JJR27-1F;Luxury 2 bedroom Apartment - Louvre Museum;JJR27-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Rousseau;411Website;411MARRIOTT
;;;;411BOOKING;;;;;
P02-CLE7-0D;Cosy 3 bedroom duplex apartment (stairs) - Louvre;CLE7-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre - Clery;411Website;411MARRIOTT
P03-SEB44-1D;Cosy 3 bedroom apartment 1 bthr - Louvre Museum;SEB44-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Sebastopol III;411Website;411MARRIOTT
P16-GRA41-1G;Cosy 3 bedrooms Apartment - Champs Elysees;GRA41-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Champs Elysees - Armee;411Website;411MARRIOTT
P10-POI8-1D;Luxury 2 Bedroom apartment - Louvre & Opera;POI8-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Marais - Poissonniere;411Website;411MARRIOTT
P08-HAU152-0G;Luxury 2 bdr 1 bthr with bathtub - Champs-Elysees;HAU152-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite -Champs Elysees-Haussmann I;411Website;411MARRIOTT
P08-HAU152-0D;Luxury 2 bedroom 1 bthr apartment - Champs-Elysees;HAU152-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil -Luxury Suite -Champs Elysees-Haussmann II;411Website;411MARRIOTT
P02-ABO58-1D;Cosy 3 bedrooms apartment - Louvre & Marais;ABO58-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre - Aboukir VIII;411Website;411MARRIOTT
P02-SEN18-2G;Cozy 3 bedrooms apartment - Louvre & Opéra;SEN18-2G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre - Sentier II;411Website;411MARRIOTT
P08-MOL3-0G;Cosy 2 bedroom 1 bathroom- Parc Monceau;MOL3-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Champs Elysees - Mollien;411Website;411MARRIOTT
P09-GOD9-2F;Luxury 6 Bedroom 3 Bathroom Louvre Champs Elysees;GOD9-2F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Champs Elysees - Mauroy I;411Website;411MARRIOTT
P03-TBG77-1D;Cosy 3 bedrooms apartment - Le Marais;TBG77-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Turbigo I;411Website;411MARRIOTT
P02-NDV14-1D;Cosy 5 bedrooms with patio - Louvre Museum;NDV14-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family suite - Louvre - Victoires;411Website;411MARRIOTT
P02-ABO94-1D;Luxury 6 bedrooms 3 bathrooms apartment - Opera;ABO94-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Aboukir IX;411Website;411MARRIOTT
P08-CAS6-1D;Luxury 2 Bedroom & 2 Bathroom - Marais;CAS6-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy apartment - Opera - Castellane;411Website;411MARRIOTT
P08-TIL14-5G;Cosy 4 bedrooms with Balcony - Champs Elysees;TIL14-5G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Signature Suite - Eiffel Tower terrace;411Website;411MARRIOTT
P02-STD250-1D;Cosy 2 bedrooms apartment with bathrooms - Louvre;STD250-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Denis II;411Website;411MARRIOTT
P09-GOD24-0F;Cosy 3 bedrooms Townhouse Louvre & Champs-Elysees;GOD24-0F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Opera - Mauroy II;411Website;411MARRIOTT
P09-ROU14-1G;Luxury 2 Bedroom & 2 Bathroom Apartment - Louvre;ROU14-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Rougemont I;411Website;411MARRIOTT
P09-ROU14-1D;Luxury 3 Bedroom & 3,5 Bathroom Apartment - Louvre;ROU14-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Opera - Rougemont II;411Website;411MARRIOTT
P01-ETI39-1F;Luxury 5 Bedroom 4 Bathroom - Louvre & Notre Dame;ETI39-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Marcel III;411Website;411MARRIOTT
P03-MAR359-1F;Cosy 3 Bedrooms Apartment - 2 Bathrooms - Marais;MAR359-1F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Martin III;411Website;411MARRIOTT
P03-MAR359-1G;Cosy 2 Bedrooms with 1 Bathroom - Marais;MAR359-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin IV;411Website;411MARRIOTT
P01-THE13-1D;Luxury 4 bedroom 4 bathroom Apartment - Louvre;THE13-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Luxury Suite - Louvre - Therese;411Website;411MARRIOTT
P01-RIV85-1G;Cosy 3 bedroom & 2 bathroom apartment - Louvre;RIV85-1G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Louvre -Rivoli;411Website;411MARRIOTT
P03-MAR326-3D;Cosy 2 bedrooms 1 bathroom apartment - Le Marais;MAR326-3D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin V;411Website;411MARRIOTT
P03-MAR326-3G;Cosy 2 bdr1 bthr apartment- Le Marais / Pompidou;MAR326-3G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Cozy Apartment - Marais - Saint Martin VI;411Website;411MARRIOTT
P02-POC5-3F;Cosy 5 Bedrooms and 2 Bathrooms - Le Marais;POC5-3F;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Ponceau;411Website;411MARRIOTT
P08-WAG20-0G;Cosy 2 bedrooms 1 bathroom apartment - Monceau;WAG20-0G;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Champs Elysees - Wagram;411Website;411MARRIOTT
P11-PEL8-0D;Cosy 7 Bedrooms 3 bathrooms  Le Marais;PEL8-0D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE;Merveil - Family Suite - Marais - Pelee;411Website;411MARRIOTT
P02-DAL40-1D;Cosy 2 bedroom with 1 bathroom-Opera;DAL40-1D;411AIRBNB;411BOOKING;411VRBO;411PLUMGUIDE; Merveil - Family Suite - Louvre - Dalayrac;411Website;411MARRIOTT
